warning_id,navarea,state,source_warning_id,cancel_targets,last_updated_utc,plotted,plot_ref,issued_utc,state_reason,last_seen_in_cumulative_id,last_seen_in_cumulative_utc,omitted_by_cumulative_id,omitted_by_cumulative_utc
NAVAREA IV TEST,IV,ACTIVE,NAVAREA IV TEST,,2026-03-11T23:43:40Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260311_234340Z.csv,,,,,,
NAVAREA IV 20260312_001427Z,IV,ACTIVE,NAVAREA IV 20260312_001427Z,,2026-03-12T00:14:27Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260312_001427Z.csv,,,,,,
,IV,CANCELLED,,NAVAREA IV 149/26,2026-03-18T23:48:28Z,NO,,,,,,,
NAVAREA IV 144/2021,IV,ACTIVE,NAVAREA IV 144/2021,,2026-03-19T01:17:33Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011733Z.csv,,,,,,
NAVAREA IV 204/2026,IV,ACTIVE,NAVAREA IV 204/2026,,2026-03-12T01:22:24Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260312_012224Z.csv,,,,,,
NAVAREA IV 1125/2024,IV,ACTIVE,NAVAREA IV 1125/2024,,2026-03-19T01:19:54Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011954Z.csv,,,,,,
NAVAREA IV 20260312_013448Z,IV,ACTIVE,NAVAREA IV 20260312_013448Z,,2026-03-12T01:34:48Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260312_013448Z.csv,,,,,,
NAVAREA IV 367/2022,IV,ACTIVE,NAVAREA IV 367/2022,,2026-03-19T01:19:52Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011952Z.csv,,,,,,
NAVAREA IV 225/2026,IV,ACTIVE,NAVAREA IV 225/2026,,2026-03-19T01:18:27Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011827Z.csv,,,,,,
NAVAREA IV 167/2026,IV,ACTIVE,NAVAREA IV 167/2026,,2026-03-19T01:19:59Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011959Z.csv,,,,,,
NAVAREA IV 20260313_123911Z,IV,ACTIVE,NAVAREA IV 20260313_123911Z,,2026-03-13T12:39:11Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260313_123911Z.csv,,,,,,
NAVAREA IV 20260313_174805Z,IV,ACTIVE,NAVAREA IV 20260313_174805Z,,2026-03-13T17:48:05Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260313_174805Z.csv,,,,,,
NAVAREA IV 20260313_231732Z,IV,ACTIVE,NAVAREA IV 20260313_231732Z,,2026-03-13T23:17:32Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260313_231732Z.csv,,,,,,
NAVAREA IV 20260318_125106Z,IV,ACTIVE,NAVAREA IV 20260318_125106Z,,2026-03-18T12:51:06Z,NO,,,,,,,
NAVAREA IV 20260318_230405Z,IV,ACTIVE,NAVAREA IV 20260318_230405Z,,2026-03-18T23:04:05Z,NO,,,,,,,
NAVAREA IV 20260318_231410Z,IV,ACTIVE,NAVAREA IV 20260318_231410Z,,2026-03-18T23:14:10Z,NO,,,,,,,
NAVAREA IV 20260318_233919Z,IV,ACTIVE,NAVAREA IV 20260318_233919Z,,2026-03-18T23:39:19Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260318_233919Z.csv,,,,,,
NAVAREA IV 277/2021,IV,ACTIVE,NAVAREA IV 277/2021,,2026-03-19T01:17:33Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011733Z.csv,,,,,,
NAVAREA IV 278/2021,IV,ACTIVE,NAVAREA IV 278/2021,,2026-03-19T01:19:52Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011952Z.csv,,,,,,
NAVAREA IV 778/2021,IV,ACTIVE,NAVAREA IV 778/2021,,2026-03-19T01:19:52Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011952Z.csv,,,,,,
NAVAREA IV 1003/2021,IV,ACTIVE,NAVAREA IV 1003/2021,,2026-03-19T01:19:52Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011952Z.csv,,,,,,
NAVAREA IV 1157/2021,IV,ACTIVE,NAVAREA IV 1157/2021,,2026-03-19T01:19:52Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011952Z.csv,,,,,,
NAVAREA IV 120/2022,IV,ACTIVE,NAVAREA IV 120/2022,,2026-03-19T01:19:52Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011952Z.csv,,,,,,
NAVAREA IV 141/2022,IV,ACTIVE,NAVAREA IV 141/2022,,2026-03-19T01:19:52Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011952Z.csv,,,,,,
NAVAREA IV 227/2022,IV,ACTIVE,NAVAREA IV 227/2022,,2026-03-19T01:19:52Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011952Z.csv,,,,,,
