Seq,Form,Time_UTC,Run_ID,NAVAREA,Warning_ID,Type,PSN_Lat,PSN_Lon,Dist_NM,Band,Plotted,Source_Kind,Source_URL,Status,Notes
1,NS-01,2026-03-19T01:17:33Z,20260319_011733Z,IV,NAVAREA IV 144/2021,POINT,20.836667,-86.916667,93.3,AMBER,YES,MANUAL,,OK,
2,NS-01,2026-03-19T01:17:33Z,20260319_011733Z,IV,NAVAREA IV 277/2021,POINT,18.212500,-94.133333,466.4,AMBER,YES,MANUAL,,OK,
3,NS-01,2026-03-19T01:18:27Z,20260319_011827Z,IV,NAVAREA IV 225/2026,POINT,27.173333,-90.366667,95.8,AMBER,YES,MANUAL,,OK,
4,NS-01,2026-03-19T01:19:52Z,20260319_011952Z,IV,NAVAREA IV 278/2021,POINT,18.704722,-95.188333,478.6,AMBER,YES,MANUAL,,OK,
5,NS-01,2026-03-19T01:19:52Z,20260319_011952Z,IV,NAVAREA IV 778/2021,POINT,20.973333,-97.308333,446.1,AMBER,YES,MANUAL,,OK,
6,NS-01,2026-03-19T01:19:52Z,20260319_011952Z,IV,NAVAREA IV 1003/2021,POINT,15.925000,-87.603333,349.1,AMBER,YES,MANUAL,,OK,
7,NS-01,2026-03-19T01:19:52Z,20260319_011952Z,IV,NAVAREA IV 1157/2021,POINT,20.062222,-72.967222,294.1,AMBER,YES,MANUAL,,OK,
8,NS-01,2026-03-19T01:19:52Z,20260319_011952Z,IV,NAVAREA IV 120/2022,POINT,18.138333,-68.755000,237.3,AMBER,YES,MANUAL,,OK,
9,NS-01,2026-03-19T01:19:52Z,20260319_011952Z,IV,NAVAREA IV 141/2022,POINT,16.108333,-88.266667,354.9,AMBER,YES,MANUAL,,OK,
10,NS-01,2026-03-19T01:19:52Z,20260319_011952Z,IV,NAVAREA IV 227/2022,POINT,19.803333,-70.695000,284.2,AMBER,YES,MANUAL,,OK,
11,NS-01,2026-03-19T01:19:52Z,20260319_011952Z,IV,NAVAREA IV 367/2022,POINT,19.785000,-87.463333,151.2,AMBER,YES,MANUAL,,OK,
12,NS-01,2026-03-19T01:19:52Z,20260319_011952Z,IV,NAVAREA IV 439/2022,POINT,21.526667,-86.805000,66.1,AMBER,YES,MANUAL,,OK,
13,NS-01,2026-03-19T01:19:52Z,20260319_011952Z,IV,NAVAREA IV 441/2022,POINT,17.741667,-77.158333,23.5,RED,YES,MANUAL,,OK,
14,NS-01,2026-03-19T01:19:53Z,20260319_011953Z,IV,NAVAREA IV 748/2022,POINT,11.990000,-68.643333,248.2,AMBER,YES,MANUAL,,OK,
15,NS-01,2026-03-19T01:19:53Z,20260319_011953Z,IV,NAVAREA IV 222/2023,AREA,18.226667,-63.069167,402.7,AMBER,YES,MANUAL,,OK,
16,NS-01,2026-03-19T01:19:53Z,20260319_011953Z,IV,NAVAREA IV 356/2023,POINT,20.211333,-87.430000,135.3,AMBER,YES,MANUAL,,OK,
17,NS-01,2026-03-19T01:19:53Z,20260319_011953Z,IV,NAVAREA IV 873/2023,POINT,15.865000,-87.965000,360.5,AMBER,YES,MANUAL,,OK,
18,NS-01,2026-03-19T01:19:53Z,20260319_011953Z,IV,NAVAREA IV 1377/2023,POINT,18.613333,-68.325000,274.9,AMBER,YES,MANUAL,,OK,
19,NS-01,2026-03-19T01:19:53Z,20260319_011953Z,IV,NAVAREA IV 1403/2023,POINT,18.274167,-87.835000,231.4,AMBER,YES,MANUAL,,OK,
20,NS-01,2026-03-19T01:19:53Z,20260319_011953Z,IV,NAVAREA IV 1404/2023,POINT,22.115000,-91.398333,194.4,AMBER,YES,MANUAL,,OK,
21,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 012/2024,AREA,8.011000,-56.743000,180.2,AMBER,YES,MANUAL,,OK,
22,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 151/2024,POINT,10.703333,-62.140000,54.9,AMBER,YES,MANUAL,,OK,
23,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 161/2024,POINT,10.091667,-65.178333,210.5,AMBER,YES,MANUAL,,OK,
24,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 177/2024,POINT,11.134500,-60.775833,36.9,RED,YES,MANUAL,,OK,
25,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 214/2024,POINT,12.156167,-68.326833,253.5,AMBER,YES,MANUAL,,OK,
26,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 325/2024,POINT,7.044500,-57.977500,259.5,AMBER,YES,MANUAL,,OK,
27,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 437/2024,POINT,13.573500,-80.091833,279.8,AMBER,YES,MANUAL,,OK,
28,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 701/2024,POINT,24.627000,-97.716167,322.9,AMBER,YES,MANUAL,,OK,
29,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 702/2024,POINT,24.487167,-97.742667,328.1,AMBER,YES,MANUAL,,OK,
30,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 703/2024,POINT,19.312667,-87.446000,169.5,AMBER,YES,MANUAL,,OK,
31,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 710/2024,AREA,8.032333,-57.006167,194.3,AMBER,YES,MANUAL,,OK,
32,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 711/2024,AREA,8.011000,-56.743000,180.2,AMBER,YES,MANUAL,,OK,
33,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 722/2024,POINT,17.470000,-87.491667,261.8,AMBER,YES,MANUAL,,OK,
34,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 733/2024,LINE,41.713333,-70.505000,184.2,AMBER,YES,MANUAL,,OK,
35,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 746/2024,POINT,47.898833,-46.795667,2280.5,AMBER,YES,MANUAL,,OK,
36,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 797/2024,POINT,12.595833,-61.407333,67.9,AMBER,YES,MANUAL,,OK,
37,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 1125/2024,POINT,16.210000,-88.503333,356.1,AMBER,YES,MANUAL,,OK,
38,NS-01,2026-03-19T01:19:54Z,20260319_011954Z,IV,NAVAREA IV 1382/2024,POINT,18.464333,-69.876333,219.5,AMBER,YES,MANUAL,,OK,
39,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 1524/2024,AREA,17.451000,-63.935667,348.6,AMBER,YES,MANUAL,,OK,
40,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 1553/2024,POINT,21.578500,-81.638333,153.5,AMBER,YES,MANUAL,,OK,
41,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 012/2025,POINT,16.106667,-88.276667,355.3,AMBER,YES,MANUAL,,OK,
42,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 090/2025,POINT,19.142667,-95.808000,473.7,AMBER,YES,MANUAL,,OK,
43,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 130/2025,POINT,17.203333,-87.530000,277.1,AMBER,YES,MANUAL,,OK,
44,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 155/2025,POINT,11.106667,-74.855000,313.7,AMBER,YES,MANUAL,,OK,
45,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 183/2025,POINT,11.381667,-63.120000,69.7,AMBER,YES,MANUAL,,OK,
46,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 311/2025,POINT,11.807167,-66.200000,249.8,AMBER,YES,MANUAL,,OK,
