// ROUTE SHEET exported by JRC ECDIS.
// <<NOTE>>This strings // indicate comment column/cells. You can edit freely.
// 15L Altamira to Barcarena,<Normal>,15L Altamira - Barcarena
// WPT No.,LAT,,,LON,,,PORT[NM],STBD[NM],Arr. Rad[NM],Speed[kn],Sail(RL/GC),ROT[deg/min],Turn Rad[NM],Time Zone,,Name
000,22,39.277,N,097,40.607,W,***,***,***,***,***,***,***,06:00,W,FSU NFE Penguin
001,22,38.200,N,097,39.400,W,2.00,2.00,0.50,005.0,RL,04.77,1.00,06:00,W,Altamira Pilot Station
002,23,55.319,N,089,00.078,W,4.00,4.00,0.50,017.5,RL,08.36,2.00,06:00,W,Ocean Passage
003,23,54.482,N,088,28.192,W,4.00,4.00,0.50,017.5,RL,08.36,2.00,06:00,W,Ocean Passage
004,22,35.803,N,086,31.695,W,4.00,4.00,0.50,017.5,RL,08.36,2.00,06:00,W,Ocean Passage
005,21,19.743,N,085,20.256,W,4.00,4.00,0.50,017.5,RL,08.36,2.00,05:00,W,Yucatan Channel
006,19,02.139,N,081,42.036,W,4.00,4.00,0.50,017.5,RL,08.36,2.00,05:00,W,SW of Cayman Island
007,17,23.433,N,077,17.609,W,4.00,4.00,0.50,017.5,RL,08.36,2.00,05:00,W,S of Jamaica Island
008,15,23.118,N,067,45.234,W,4.00,4.00,0.50,017.5,RL,08.36,2.00,04:00,W,Caribbean Sea
009,13,33.599,N,061,04.371,W,4.00,4.00,0.50,017.5,RL,08.36,2.00,04:00,W,Off Saint Vincent
010,03,27.454,N,047,52.720,W,4.00,4.00,0.50,017.5,RL,08.36,2.00,03:00,W,Ocean Passage
011,00,04.796,S,047,29.058,W,4.00,4.00,0.50,017.5,RL,04.18,4.00,03:00,W,Approaching pilot station
012,00,14.851,S,047,45.568,W,0.70,0.70,0.50,014.0,RL,03.34,4.00,03:00,W,Approaching Pilot station
013,00,17.000,S,047,49.000,W,1.00,1.00,0.50,006.5,RL,06.21,1.00,03:00,W,Pilot Station
014,00,14.313,S,047,51.987,W,0.29,0.44,0.50,006.5,RL,06.21,1.00,03:00,W,SW Safe water Buoy
015,00,16.051,S,047,56.047,W,0.50,0.50,0.50,012.0,RL,11.46,1.00,03:00,W,by No.1
016,00,18.443,S,047,59.264,W,0.50,0.50,0.50,012.0,RL,11.46,1.00,03:00,W,by No.2
017,00,21.953,S,048,08.324,W,0.40,0.20,0.50,006.5,RL,06.21,1.00,03:00,W,by No.4
018,00,25.086,S,048,12.075,W,0.50,0.50,0.50,006.5,RL,06.21,1.00,03:00,W,by No.6
019,00,29.141,S,048,15.749,W,0.50,0.50,0.50,006.5,RL,06.21,1.00,03:00,W,Para River
020,00,34.505,S,048,20.607,W,0.50,0.50,0.50,008.0,RL,07.64,1.00,03:00,W,Quiriri Channel
021,00,50.970,S,048,29.332,W,0.50,0.50,0.50,014.0,RL,26.74,0.50,03:00,W,by Quiriri No.8
022,00,55.620,S,048,27.064,W,0.50,0.50,0.50,012.0,RL,22.92,0.50,03:00,W,by Quiriri No.10
023,00,56.149,S,048,26.369,W,0.15,0.10,0.50,006.5,RL,12.41,0.50,03:00,W,by Quiriri No.12
024,00,59.570,S,048,26.831,W,0.20,0.20,0.50,006.5,RL,06.21,1.00,03:00,W,Arari Point
025,01,09.042,S,048,33.491,W,0.50,0.50,0.50,014.0,RL,13.37,1.00,03:00,W,Mosqueiro Anchorage
026,01,12.153,S,048,37.206,W,0.50,0.50,0.50,014.0,RL,13.37,1.00,03:00,W,Mosqueiro Anchorage
027,01,22.817,S,048,42.697,W,0.50,0.50,0.50,014.0,RL,13.37,1.00,03:00,W,Carnapijo Island
028,01,28.993,S,048,44.358,W,0.50,0.50,0.50,014.0,RL,13.37,1.00,03:00,W,Off Terfron Terminal
029,01,30.785,S,048,44.748,W,0.25,0.25,0.50,006.5,RL,06.21,1.00,03:00,W,FSRU Approach
030,01,31.550,S,048,44.710,W,0.13,0.64,0.50,003.0,RL,05.73,0.50,03:00,W,FSRU Energos Celsius
