// ROUTE SHEET exported by JRC ECDIS.
// <<NOTE>>This strings // indicate comment column/cells. You can edit freely.
// 15B Saint John - Altamira,<Normal>,15B To Altamira
// WPT No.,LAT,,,LON,,,PORT[NM],STBD[NM],Arr. Rad[NM],Speed[kn],Sail(RL/GC),ROT[deg/min],Turn Rad[NM],Time Zone,,Name
000,45,12.154,N,065,58.833,W,***,***,***,***,***,***,***,00:00,E,Canaport LNG Platform
001,45,12.091,N,066,00.543,W,0.13,0.13,1.00,003.0,RL,09.55,0.30,00:00,E,Port Limits Passage
002,45,10.874,N,066,03.659,W,0.20,0.20,0.50,008.0,RL,15.28,0.50,00:00,E,Pilot Off
003,45,08.047,N,066,05.400,W,0.70,0.70,0.50,012.0,RL,07.64,1.50,00:00,E,Exit Port Limits
004,45,02.761,N,066,09.599,W,0.80,0.80,0.50,018.0,RL,11.46,1.50,00:00,E,Enter TSS
005,44,32.392,N,066,20.880,W,0.80,0.80,0.50,018.0,RL,11.46,1.50,00:00,E,Off Digby Neck
006,44,16.229,N,066,53.899,W,0.80,0.80,0.50,018.0,RL,11.46,1.50,00:00,E,Exit TSS
007,43,58.247,N,067,01.546,W,1.00,1.00,0.50,018.0,RL,11.46,1.50,00:00,E,Ocean Passage
008,42,30.254,N,067,00.880,W,5.00,5.00,0.50,018.0,RL,11.46,1.50,00:00,E,Ocean Passage
009,41,43.332,N,066,37.675,W,5.00,5.00,0.50,018.0,RL,11.46,1.50,00:00,E,Georges Bank
010,40,43.212,N,067,07.312,W,5.00,5.00,0.50,018.0,RL,11.46,1.50,00:00,E,Ocean Passage
011,37,57.086,N,070,49.343,W,5.00,5.00,0.50,018.0,RL,11.46,1.50,00:00,E,Ocean Passage
012,33,19.566,N,074,30.973,W,5.00,5.00,0.50,018.0,RL,11.46,1.50,00:00,E,Ocean Passage
013,28,58.243,N,078,41.389,W,5.00,5.00,0.50,018.0,RL,11.46,1.50,00:00,E,Ocean Passage
014,27,23.583,N,079,20.489,W,5.00,5.00,0.50,018.0,RL,11.46,1.50,00:00,E,Straits of Florida
015,26,44.153,N,079,21.578,W,5.00,5.00,0.50,018.0,RL,03.44,5.00,00:00,E,N Providence Channel
016,26,04.594,N,079,25.905,W,5.00,5.00,0.50,018.0,RL,08.59,2.00,04:00,W,NW Providence Channel
017,24,40.333,N,079,38.833,W,5.00,5.00,0.50,018.0,RL,08.59,2.00,04:00,W,Straits of Florida
018,23,42.975,N,081,17.000,W,5.00,5.00,1.50,018.0,RL,08.59,2.00,04:00,W,Straits of Florida
019,23,41.420,N,084,09.000,W,5.00,5.00,1.50,018.0,RL,08.59,2.00,05:00,W,Ocean Passage
020,24,15.300,N,087,29.500,W,5.00,5.00,0.50,018.0,RL,11.46,1.50,00:00,E,Gulf of America
021,24,15.300,N,089,00.000,W,5.00,5.00,0.50,018.0,RL,11.46,1.50,00:00,E,Gulf America
022,22,39.460,N,097,27.176,W,5.00,5.00,0.50,018.0,RL,11.46,1.50,00:00,E,Approach Anchorage
023,22,37.000,N,097,40.000,W,2.00,1.00,0.50,015.0,RL,14.32,1.00,00:00,E,Altamira Anchorage
024,22,39.201,N,097,40.397,W,0.15,1.00,0.50,003.0,RL,05.73,0.50,00:00,E,FSU NFE Penguin
