// ROUTE SHEET exported by JRC ECDIS.
// <<NOTE>>This strings // indicate comment column/cells. You can edit freely.
// Barcarena - GOLA DRIFTING,<Normal>,DEPARTURE DRIFTING
// WPT No.,LAT,,,LON,,,PORT[NM],STBD[NM],Arr. Rad[NM],Speed[kn],Sail(RL/GC),ROT[deg/min],Turn Rad[NM],Time Zone,,Name
000,01,31.550,S,048,44.710,W,***,***,***,***,***,***,***,03:00,W,FSRU Energos Celsius
001,01,30.785,S,048,44.748,W,0.31,0.10,0.50,003.0,RL,02.86,1.00,03:00,W,FSRU Approach
002,01,28.993,S,048,44.358,W,0.31,0.25,0.50,014.0,RL,13.37,1.00,03:00,W,Off Terfron Terminal
003,01,20.287,S,048,40.074,W,0.91,0.70,0.50,016.0,RL,15.28,1.00,03:00,W,Carnapijo Island
004,01,16.555,S,048,36.595,W,0.92,0.69,0.50,016.0,RL,15.28,1.00,03:00,W,Mosqueiro island
005,01,11.523,S,048,33.919,W,0.79,0.59,0.50,016.0,RL,15.28,1.00,03:00,W,Mosqueiro Anchorage
006,01,05.745,S,048,28.991,W,2.14,0.86,0.50,016.0,RL,06.11,2.50,03:00,W,Mosqueiro Anchorage
007,01,00.950,S,048,26.359,W,1.57,1.18,0.50,016.0,RL,07.64,2.00,03:00,W,Arari Point
008,00,57.964,S,048,26.401,W,0.62,1.18,0.50,015.0,RL,07.16,2.00,03:00,W,Approach by Quiriri No.12
009,00,56.298,S,048,26.421,W,0.15,0.24,0.50,015.0,RL,14.32,1.00,03:00,W,by Quiriri No.12
010,00,55.287,S,048,26.982,W,0.14,0.60,0.50,015.0,RL,09.55,1.50,03:00,W,Jones point
011,00,52.455,S,048,28.619,W,1.06,0.99,0.50,016.0,RL,10.19,1.50,03:00,W,by Quiriri No.10
012,00,50.258,S,048,29.609,W,0.50,0.47,0.50,016.0,RL,10.19,1.50,03:00,W,by Quiriri No.8
013,00,34.505,S,048,20.607,W,0.73,0.85,0.50,016.0,RL,15.28,1.00,03:00,W,Quiriri Channel
014,00,25.086,S,048,12.075,W,0.59,0.84,0.50,016.0,RL,15.28,1.00,03:00,W,by No.6
015,00,21.953,S,048,08.324,W,0.62,0.50,0.50,016.0,RL,15.28,1.00,03:00,W,by No.4
016,00,18.443,S,047,59.264,W,0.42,0.40,0.50,016.0,RL,15.28,1.00,03:00,W,by No.2
017,00,16.051,S,047,56.047,W,0.50,0.50,0.50,016.0,RL,15.28,1.00,03:00,W,by No.1
018,00,14.313,S,047,51.987,W,0.50,0.50,0.50,018.5,RL,17.67,1.00,03:00,W,Pilot Off
019,00,12.671,S,047,48.175,W,1.03,1.38,0.50,018.5,RL,17.67,1.00,03:00,W,Safe Water Buoy
020,00,14.754,N,047,35.925,W,4.00,4.00,0.50,018.5,RL,04.42,4.00,03:00,W,Coastal passage
021,03,07.315,N,048,36.481,W,4.00,4.00,0.50,018.5,RL,08.83,2.00,03:00,W,Ocean Passage
022,06,16.576,N,052,18.494,W,4.00,4.00,0.50,018.5,RL,08.83,2.00,03:00,W,Ocean Passage
023,11,42.969,N,060,14.944,W,4.00,4.00,0.50,018.5,RL,08.83,2.00,04:00,W,Off Saint Vincent
024,11,36.012,N,061,57.397,W,4.00,4.00,0.50,018.5,RL,08.83,2.00,04:00,W,Off Grenada
025,15,07.223,N,071,25.201,W,4.00,4.00,0.50,018.5,RL,08.83,2.00,04:00,W,Caribbean Sea
026,17,22.223,N,077,17.330,W,4.00,4.00,0.50,018.5,RL,08.83,2.00,04:00,W,Off Jamaica
027,19,01.383,N,081,41.712,W,4.00,4.00,0.50,018.5,RL,08.83,2.00,05:00,W,Off Grand Cayman
028,21,19.743,N,085,20.256,W,4.00,4.00,0.50,018.5,RL,08.83,2.00,05:00,W,Yucatan Channel
029,22,35.803,N,086,31.695,W,4.00,4.00,0.50,018.5,RL,08.83,2.00,06:00,W,Ocean Passage
030,23,54.482,N,088,28.192,W,4.00,4.00,0.50,018.5,RL,08.83,2.00,06:00,W,Ocean Passage
031,24,15.718,N,090,42.937,W,5.00,5.00,0.50,014.0,RL,06.68,2.00,00:00,E,Departure drifting
032,27,09.874,N,092,28.858,W,4.00,4.00,0.50,014.0,RL,08.91,1.50,00:00,E,Enter US ECA
033,27,31.681,N,092,33.342,W,4.00,4.00,0.50,014.0,RL,08.91,1.50,00:00,E,Ocean Passage
034,27,51.237,N,092,34.262,W,4.00,4.00,0.50,014.0,RL,03.34,4.00,00:00,E,Entry to Fairway
035,28,12.951,N,092,52.957,W,0.70,0.70,0.50,014.0,RL,08.91,1.50,00:00,E,Safety Fairway
036,28,49.335,N,093,51.042,W,0.30,0.70,0.50,014.0,RL,08.91,1.50,00:00,E,Safety Fairway
037,28,56.212,N,094,25.138,W,0.70,0.78,0.50,014.0,RL,08.91,1.50,00:00,E,Approaching
038,29,08.675,N,094,35.485,W,0.70,0.70,0.50,014.0,RL,08.91,1.50,00:00,E,Anchorage Approach
039,29,12.483,N,094,38.221,W,0.70,0.70,0.50,012.0,RL,00.00,0.00,00:00,E,SW Fairway Anchorage
